datetime,open,high,low,close,volume
2023-09-12 00:05:14+02:00,25140.77,25140.77,25140.77,25140.77,0.0
2023-09-12 00:05:15+02:00,25142.97,25145.71,25142.97,25145.71,0.36605
2023-09-12 00:05:16+02:00,25145.71,25149.6,25145.71,25145.87,0.29229
2023-09-12 00:05:17+02:00,25147.86,25147.86,25147.86,25147.86,0.00143
2023-09-12 00:05:18+02:00,25146.2,25146.2,25146.2,25146.2,0.00403
2023-09-12 00:05:19+02:00,25146.2,25146.2,25146.2,25146.2,0.0
2023-09-12 00:05:20+02:00,25146.2,25146.2,25146.2,25146.2,0.0
2023-09-12 00:05:21+02:00,25149.84,25149.91,25149.84,25149.91,0.03
2023-09-12 00:05:22+02:00,25149.91,25149.91,25149.91,25149.91,0.0
2023-09-12 00:05:23+02:00,25150.04,25151.08,25150.04,25151.08,0.001
2023-09-12 00:05:24+02:00,25149.84,25150.24,25149.84,25150.24,0.0008
2023-09-12 00:05:25+02:00,25151.08,25152.09,25149.06,25152.09,0.01979
2023-09-12 00:05:26+02:00,25151.45,25152.32,25151.45,25152.32,0.1052
2023-09-12 00:05:27+02:00,25152.32,25152.32,25152.32,25152.32,0.00239
2023-09-12 00:05:28+02:00,25153.48,25153.86,25153.48,25153.86,0.001
2023-09-12 00:05:29+02:00,25153.86,25153.86,25153.86,25153.86,0.0
2023-09-12 00:05:30+02:00,25153.39,25153.39,25153.39,25153.39,0.001
2023-09-12 00:05:31+02:00,25153.39,25154.84,25153.39,25154.84,0.00515
2023-09-12 00:05:32+02:00,25155.6,25155.6,25155.6,25155.6,0.001
2023-09-12 00:05:33+02:00,25155.6,25155.6,25155.6,25155.6,0.0
2023-09-12 00:05:34+02:00,25155.6,25155.6,25155.6,25155.6,0.0
2023-09-12 00:05:35+02:00,25155.6,25155.6,25155.6,25155.6,0.0
2023-09-12 00:05:36+02:00,25155.6,25155.6,25155.6,25155.6,0.0
2023-09-12 00:05:37+02:00,25156.0,25158.19,25153.26,25153.26,0.34338
2023-09-12 00:05:38+02:00,25153.36,25153.36,25153.36,25153.36,0.01072
2023-09-12 00:05:39+02:00,25153.36,25153.36,25153.36,25153.36,0.0
2023-09-12 00:05:40+02:00,25153.5,25153.5,25153.37,25153.37,0.00249
2023-09-12 00:05:41+02:00,25153.37,25153.37,25153.37,25153.37,0.0
2023-09-12 00:05:42+02:00,25153.44,25155.63,25153.38,25155.63,0.00281
2023-09-12 00:05:43+02:00,25155.63,25155.63,25155.63,25155.63,0.0
2023-09-12 00:05:44+02:00,25155.63,25155.63,25155.63,25155.63,0.0
2023-09-12 00:05:45+02:00,25155.47,25155.47,25155.47,25155.47,0.00028
2023-09-12 00:05:46+02:00,25155.47,25155.47,25155.47,25155.47,0.0
2023-09-12 00:05:47+02:00,25153.88,25153.88,25153.86,25153.86,0.11096
2023-09-12 00:05:48+02:00,25153.52,25155.3,25152.44,25152.5,0.0773
2023-09-12 00:05:49+02:00,25152.5,25152.5,25152.5,25152.5,0.0
2023-09-12 00:05:50+02:00,25155.09,25155.43,25155.09,25155.43,0.02517
2023-09-12 00:05:51+02:00,25155.43,25155.43,25155.43,25155.43,0.0
2023-09-12 00:05:52+02:00,25155.43,25155.43,25155.43,25155.43,0.0
2023-09-12 00:05:53+02:00,25155.43,25155.43,25155.43,25155.43,0.00028
2023-09-12 00:05:54+02:00,25155.43,25155.43,25155.43,25155.43,0.0
2023-09-12 00:05:55+02:00,25155.43,25155.43,25155.43,25155.43,0.0
2023-09-12 00:05:56+02:00,25155.43,25155.43,25155.43,25155.43,0.0
2023-09-12 00:05:57+02:00,25155.43,25155.43,25155.43,25155.43,0.0
2023-09-12 00:05:58+02:00,25155.43,25155.43,25155.43,25155.43,0.0092
2023-09-12 00:05:59+02:00,25155.43,25155.43,25155.43,25155.43,0.0
2023-09-12 00:06:00+02:00,25155.05,25155.05,25154.18,25154.18,0.04
2023-09-12 00:06:01+02:00,25154.18,25154.18,25154.18,25154.18,0.0
2023-09-12 00:06:02+02:00,25155.15,25155.15,25154.91,25154.91,0.0064
2023-09-12 00:06:03+02:00,25155.86,25156.3,25155.86,25156.3,0.0119
2023-09-12 00:06:04+02:00,25156.3,25156.31,25156.3,25156.31,0.02013
2023-09-12 00:06:05+02:00,25156.31,25156.31,25156.31,25156.31,0.0
2023-09-12 00:06:06+02:00,25155.05,25155.05,25154.47,25154.47,0.18423
2023-09-12 00:06:07+02:00,25154.47,25154.47,25154.47,25154.47,0.0
2023-09-12 00:06:08+02:00,25154.47,25154.47,25154.47,25154.47,0.0
2023-09-12 00:06:09+02:00,25154.47,25154.47,25154.47,25154.47,0.0
2023-09-12 00:06:10+02:00,25154.47,25154.47,25154.47,25154.47,0.0
2023-09-12 00:06:11+02:00,25154.57,25154.57,25154.57,25154.57,0.00256
2023-09-12 00:06:12+02:00,25154.88,25154.88,25154.88,25154.88,0.0024
2023-09-12 00:06:13+02:00,25156.91,25156.94,25156.91,25156.94,0.03972
2023-09-12 00:06:14+02:00,25156.94,25156.94,25156.94,25156.94,0.0
2023-09-12 00:06:15+02:00,25155.05,25155.05,25148.47,25150.07,0.39006
2023-09-12 00:06:16+02:00,25151.23,25152.08,25151.23,25152.08,0.03538
2023-09-12 00:06:17+02:00,25152.08,25152.08,25152.08,25152.08,0.0
2023-09-12 00:06:18+02:00,25152.08,25152.08,25152.08,25152.08,0.0
2023-09-12 00:06:19+02:00,25152.08,25152.08,25152.08,25152.08,0.0
2023-09-12 00:06:20+02:00,25152.08,25152.08,25152.08,25152.08,0.0
2023-09-12 00:06:21+02:00,25151.84,25151.84,25151.83,25151.83,0.05628
2023-09-12 00:06:22+02:00,25152.13,25152.13,25152.13,25152.13,0.0004
2023-09-12 00:06:23+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:24+02:00,25152.23,25152.23,25152.03,25152.03,0.0008
2023-09-12 00:06:25+02:00,25152.03,25152.03,25152.03,25152.03,0.0
2023-09-12 00:06:26+02:00,25152.13,25152.13,25152.13,25152.13,0.0004
2023-09-12 00:06:27+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:28+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:29+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:30+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:31+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:32+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:33+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:34+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:35+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:36+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:37+02:00,25152.13,25152.13,25152.13,25152.13,0.0
2023-09-12 00:06:38+02:00,25152.13,25152.13,25152.13,25152.13,0.0
